run_id,timestamp,tag,scaling,rank,alpha,seed,scheduler,label_smoothing,holdout_category,best_step,best_val_acc,test_acc,test_f1_OR,test_f1_CG,test_roc_auc,test_pr_auc,train_runtime_s,steps_per_s,peak_alloc_gb,peak_reserved_gb,notes
a1_standard_r8_s1998_06121651,2026-06-12T17:58:38,a1,standard,8,16,1998,cosine_with_restarts,0.01,,3000,0.949299,0.957781,0.958672,0.956851,0.991936,0.991438,3926.1,0.7730,1.70,5.65,
a1_standard_r8_s7_06121821,2026-06-12T20:59:15,a1,standard,8,16,7,cosine_with_restarts,0.01,,2800,0.956719,0.960254,0.961012,0.959467,0.992734,0.991612,9324.8,0.3260,1.70,3.80,
a1_standard_r8_s42_06121822,2026-06-12T21:00:11,a1,standard,8,16,42,cosine_with_restarts,0.01,,2700,0.961665,0.962197,0.963040,0.961316,0.994022,0.993701,9385.8,0.3230,1.71,4.90,
a1_standard_r16_s1998_06122059,2026-06-12T23:37:23,a1,standard,16,32,1998,cosine_with_restarts,0.01,,2800,0.965787,0.970500,0.971142,0.969828,0.995519,0.995326,9351.8,0.3250,1.75,5.70,
a1_standard_r16_s7_06122100,2026-06-12T23:38:28,a1,standard,16,32,7,cosine_with_restarts,0.01,,2800,0.965375,0.969617,0.970294,0.968908,0.995351,0.994675,9374.9,0.3240,1.75,3.84,
a1_standard_r16_s42_06122337,2026-06-13T02:25:10,a1,standard,16,32,42,cosine_with_restarts,0.01,,2500,0.969497,0.971207,0.971785,0.970604,0.996506,0.996160,9920.2,0.3060,1.75,4.94,
a1_standard_r32_s1998_06122338,2026-06-13T02:26:19,a1,standard,32,64,1998,cosine_with_restarts,0.01,,2400,0.973207,0.975093,0.975719,0.974433,0.996967,0.996796,9978.0,0.3040,1.83,5.79,
a1_standard_r32_s7_06130229,2026-06-13T03:48:03,a1,standard,32,64,7,cosine_with_restarts,0.01,,2800,0.971558,0.975269,0.975837,0.974674,0.995971,0.995458,4605.9,0.6590,1.83,3.93,
a1_standard_r32_s42_06130348,2026-06-13T04:44:58,a1,standard,32,64,42,cosine_with_restarts,0.01,,1400,0.970322,0.968557,0.969215,0.967870,0.995914,0.995617,3323.1,0.9140,1.84,5.03,
a1_standard_r64_s1998_06130445,2026-06-13T06:01:33,a1,standard,64,128,1998,cosine_with_restarts,0.01,,2600,0.978978,0.978979,0.979301,0.978647,0.997285,0.996435,4498.3,0.6750,2.03,6.00,
a1_standard_r64_s7_06130601,2026-06-13T07:15:03,a1,standard,64,128,7,cosine_with_restarts,0.01,,2800,0.975680,0.977213,0.977732,0.976668,0.995076,0.994451,4308.2,0.7050,2.04,4.84,
a1_standard_r64_s42_06130715,2026-06-13T08:19:04,a1,standard,64,128,42,cosine_with_restarts,0.01,,1900,0.979390,0.977566,0.978077,0.977030,0.997716,0.997412,3750.5,0.8100,2.03,5.22,
a1_rs_r8_s1998_06130819,2026-06-13T09:27:21,a1,rs,8,16,1998,cosine_with_restarts,0.01,,2800,0.970322,0.971560,0.972102,0.970996,0.996389,0.996168,4008.4,0.7580,1.70,5.78,
a1_rs_r8_s7_06130927,2026-06-13T10:35:38,a1,rs,8,16,7,cosine_with_restarts,0.01,,2300,0.969909,0.970853,0.971527,0.970147,0.995429,0.994808,4004.6,0.7580,1.70,3.80,
a1_rs_r8_s42_06131035,2026-06-13T11:44:15,a1,rs,8,16,42,cosine_with_restarts,0.01,,2900,0.972795,0.977036,0.977563,0.976483,0.997173,0.996862,4022.8,0.7550,1.71,4.90,
a1_rs_r16_s1998_06131144,2026-06-13T12:53:57,a1,rs,16,32,1998,cosine_with_restarts,0.01,,2600,0.979802,0.979156,0.979493,0.978807,0.997161,0.996484,4084.2,0.7430,1.75,5.82,
a1_rs_r16_s7_06131254,2026-06-13T14:03:37,a1,rs,16,32,7,cosine_with_restarts,0.01,,2600,0.977329,0.977742,0.978328,0.977124,0.994984,0.994289,4083.0,0.7440,1.75,3.84,
a1_rs_r16_s42_06131403,2026-06-13T15:08:32,a1,rs,16,32,42,cosine_with_restarts,0.01,,2000,0.978978,0.979156,0.979478,0.978823,0.998037,0.997845,3798.0,0.8000,1.75,4.94,
a1_rs_r32_s1998_06131508,2026-06-13T16:09:22,a1,rs,32,64,1998,cosine_with_restarts,0.01,,1800,0.984336,0.981452,0.981717,0.981179,0.997529,0.996325,3548.1,0.8560,1.83,5.91,
a1_rs_r32_s7_06131609,2026-06-13T16:54:21,a1,rs,32,64,7,cosine_with_restarts,0.01,,1100,0.978978,0.979686,0.980080,0.979276,0.997247,0.997232,2607.2,1.1650,1.83,3.93,
a1_rs_r32_s42_06131654,2026-06-13T17:37:09,a1,rs,32,64,42,cosine_with_restarts,0.01,,1000,0.982688,0.983042,0.983368,0.982703,0.998020,0.997614,2474.1,1.2270,1.84,5.03,
a1_rs_r64_s1998_06131737,2026-06-13T18:23:36,a1,rs,64,128,1998,cosine_with_restarts,0.01,,1100,0.988871,0.988341,0.988597,0.988074,0.998010,0.997386,2680.6,1.1330,2.03,6.06,
a1_rs_r64_s7_06131823,2026-06-13T19:19:15,a1,rs,64,128,7,cosine_with_restarts,0.01,,1500,0.987222,0.987281,0.987569,0.986980,0.998431,0.997925,3240.8,0.9370,2.04,4.10,
a1_rs_r64_s42_06131919,2026-06-13T19:56:03,a1,rs,64,128,42,cosine_with_restarts,0.01,,700,0.986397,0.986575,0.986874,0.986262,0.998549,0.998528,2108.4,1.4400,2.03,5.22,
a2_rs_r64_s123_06131956,2026-06-13T20:59:52,a2,rs,64,128,123,cosine_with_restarts,0.01,,1600,0.987222,0.986398,0.986708,0.986073,0.997129,0.997040,3717.9,0.8170,2.03,4.24,
a2_rs_r64_s2026_06132100,2026-06-13T22:15:36,a2,rs,64,128,2026,cosine_with_restarts,0.01,,2200,0.987222,0.987458,0.987735,0.987168,0.997317,0.994652,4441.2,0.6840,2.03,3.60,
b1_rs_r64_s1998_06160530,2026-06-16T07:09:37,b1,rs,64,128,1998,cosine,0.01,,2200,0.989695,0.988695,0.988943,0.988435,0.997261,0.995503,5856.7,0.5180,2.03,6.06,
m1_rs_r64_s1998_06280252,2026-06-28T03:56:19,m1,rs,64,128,1998,cosine_with_restarts,0.01,,1400,0.995876,0.997703,0.997723,0.997683,0.999371,0.998722,3683.3,0.8240,2.03,3.34,modern DeepSeek-v4-pro fakes vs real OR
m1_rs_r64_s7_07120115,2026-07-12T01:32:53,m1,rs,64,128,7,cosine_with_restarts,0.01,,600,0.995876,0.995760,0.995792,0.995726,0.999532,0.999337,945.6,3.2130,2.05,2.19,
m1_rs_r64_s42_07120133,2026-07-12T01:54:59,m1,rs,64,128,42,cosine_with_restarts,0.01,,1100,0.997113,0.996996,0.997026,0.996966,0.999506,0.999416,1219.6,2.4910,2.05,2.22,
m1s_standard_r64_s1998_07120155,2026-07-12T02:28:36,m1s,standard,64,128,1998,cosine_with_restarts,0.01,,2300,0.996289,0.994346,0.994394,0.994298,0.999172,0.997783,1912.1,1.5880,2.05,2.25,
m1s_standard_r64_s7_07120228,2026-07-12T03:01:39,m1s,standard,64,128,7,cosine_with_restarts,0.01,,2800,0.995052,0.996113,0.996148,0.996077,0.998940,0.997987,1878.1,1.6170,2.05,2.22,
m1s_standard_r64_s42_07120301,2026-07-12T03:36:18,m1s,standard,64,128,42,cosine_with_restarts,0.01,,2500,0.994639,0.995230,0.995279,0.995179,0.999715,0.999752,1974.5,1.5380,2.05,2.22,
xg_rs_r64_s1998_07120336,2026-07-12T03:57:22,xg,rs,64,128,1998,cosine_with_restarts,0.01,,1000,0.987201,0.983198,0.983802,0.982546,0.998109,0.997972,1133.7,2.6760,2.05,2.24,
xl_rs_r64_s1998_07120357,2026-07-12T04:20:09,xl,rs,64,128,1998,cosine_with_restarts,0.01,,1200,0.998763,0.998410,0.998427,0.998392,0.999959,0.999959,1259.0,2.4130,2.05,2.25,
xd_rs_r64_s1998_07120420,2026-07-12T04:40:51,xd,rs,64,128,1998,cosine_with_restarts,0.01,,900,0.995464,0.996290,0.996322,0.996257,0.999440,0.999226,1144.7,2.6540,2.05,2.25,
xglm_rs_r64_s1998_07120441,2026-07-12T05:04:27,xglm,rs,64,128,1998,cosine_with_restarts,0.01,,1000,0.994639,0.993285,0.993293,0.993277,0.998470,0.996247,1296.6,2.3430,2.05,2.22,
xg_rs_r64_s7_07120504,2026-07-12T05:32:12,xg,rs,64,128,7,cosine_with_restarts,0.01,,1400,0.987614,0.986028,0.986419,0.985613,0.995660,0.995933,1542.6,1.9650,2.05,2.22,
xl_rs_r64_s7_07120532,2026-07-12T05:56:31,xl,rs,64,128,7,cosine_with_restarts,0.01,,1300,1.000000,0.998233,0.998250,0.998216,0.999991,0.999990,1351.7,2.2470,2.05,2.22,
xd_rs_r64_s7_07120556,2026-07-12T06:20:57,xd,rs,64,128,7,cosine_with_restarts,0.01,,1300,0.997113,0.997173,0.997198,0.997148,0.999635,0.999531,1336.5,2.2730,2.05,2.22,
xglm_rs_r64_s7_07120621,2026-07-12T06:36:10,xglm,rs,64,128,7,cosine_with_restarts,0.01,,500,0.995052,0.992401,0.992436,0.992366,0.999292,0.999066,808.1,3.7610,2.05,2.22,
xg_rs_r64_s42_07120636,2026-07-12T07:00:21,xg,rs,64,128,42,cosine_with_restarts,0.01,,1400,0.989678,0.985674,0.986090,0.985232,0.997023,0.994740,1338.5,2.2650,2.05,2.22,
xl_rs_r64_s42_07120700,2026-07-12T07:16:24,xl,rs,64,128,42,cosine_with_restarts,0.01,,500,0.999588,0.996643,0.996670,0.996616,0.999931,0.999925,859.9,3.5340,2.05,2.27,
